Acquisition Date,Collection Category,Collection Number,Corner Lower Left Lat DMS,Corner Lower Left Latitude,Corner Lower Left Long DMS,Corner Lower Left Longitude,Corner Lower Right Lat DMS,Corner Lower Right Latitude,Corner Lower Right Long DMS,Corner Lower Right Longitude,Corner Upper Left Lat DMS,Corner Upper Left Latitude,Corner Upper Left Long DMS,Corner Upper Left Longitude,Corner Upper Right Lat DMS,Corner Upper Right Latitude,Corner Upper Right Long DMS,Corner Upper Right Longitude,Data Type L2,Date Acquired,Date Product Generated L1,Date Product Generated L2,Date Updated,Datum,Day/Night Indicator,Display ID,Ellipsoid,Entity ID,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Land Cloud Cover,Landsat Product Identifier L1,Landsat Product Identifier L2,Landsat Scene Identifier,NE Corner Lat,NE Corner Lat dec,NE Corner Long,NE Corner Long dec,NW Corner Lat,NW Corner Lat dec,NW Corner Long,NW Corner Long dec,Nadir/Off Nadir,Processing Software Version,Product Map Projection L1,Publication Date,Resolution,Roll Angle,SE Corner Lat,SE Corner Lat dec,SE Corner Long,SE Corner Long dec,SW Corner Lat,SW Corner Lat dec,SW Corner Long,SW Corner Long dec,Satellite,Scene Center Lat DMS,Scene Center Latitude,Scene Center Long DMS,Scene Center Longitude,Scene Cloud Cover L1,Sensor Identifier,Start Time,Station Identifier,Stop Time,Sun Azimuth L0RA,Sun Elevation L0RA,TIRS SSM Model,Target WRS Path,Target WRS Row,UTM Zone,WRS Path,WRS Row,source
,T1,2,"20°41'24.32""N",20.69009,"51°52'56.71""E",51.88242,"20°39'59.29""N",20.66647,"53°59'12.30""E",53.98675,"22°39'47.09""N",22.66308,"51°53'40.27""E",51.89452,"22°38'13.09""N",22.63697,"54°01'39.40""E",54.02761,OLI_TIRS_L2SP,3/19/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_161045_20130319_20200913_02_T1,WGS84,LC81610452013078LGN02,6.504,4.222,4.947,922,5,1.91,LC08_L1TP_161045_20130319_20200913_02_T1,LC08_L2SP_161045_20130319_20200913_02_T1,LC81610452013078LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"21°40'16.93""N",21.67137,"52°56'54.24""E",52.9484,1.91,OLI_TIRS,54:16.2,LGN,54:46.0,128.5393754,56.79505465,ACTUAL,161,45,39,161,45,Landsat
,T1,2,"26°24'26.21""N",26.40728,"54°21'15.95""E",54.35443,"26°25'52.25""N",26.43118,"56°35'30.55""E",56.59182,"28°24'53.06""N",28.41474,"54°18'22.10""E",54.30614,"28°26'26.74""N",28.44076,"56°35'03.66""E",56.58435,OLI_TIRS_L2SP,3/24/2013,9/12/2020,9/12/2020,,WGS84,DAY,LC08_L2SP_160041_20130324_20200912_02_T1,WGS84,LC81600412013083LGN02,5.732,3.7,4.378,802,5,26.89,LC08_L1TP_160041_20130324_20200912_02_T1,LC08_L2SP_160041_20130324_20200912_02_T1,LC81600412013083LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"27°25'53.18""N",27.43144,"55°27'39.20""E",55.46089,33.98,OLI_TIRS,48:27.6,LGN,48:57.4,134.4373,55.39638066,ACTUAL,160,41,40,160,41,Landsat
,T1,2,"24°57'57.42""N",24.96595,"54°00'42.84""E",54.0119,"24°59'38.11""N",24.99392,"56°13'19.67""E",56.22213,"26°58'23.56""N",26.97321,"53°57'38.52""E",53.9607,"27°00'13.61""N",27.00378,"56°12'31.61""E",56.20878,OLI_TIRS_L2SP,3/24/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160042_20130324_20200913_02_T1,WGS84,LC81600422013083LGN02,5.62,3.502,4.395,313,5,82.19,LC08_L1TP_160042_20130324_20200913_02_T1,LC08_L2SP_160042_20130324_20200913_02_T1,LC81600422013083LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"25°59'33.18""N",25.99255,"55°06'05.26""E",55.10146,92.56,OLI_TIRS,48:51.4,LGN,49:21.2,132.5479703,56.21828013,ACTUAL,160,42,40,160,42,Landsat
,T1,2,"23°31'27.37""N",23.52427,"53°40'21.25""E",53.67257,"23°33'20.45""N",23.55568,"55°51'27.22""E",55.85756,"25°32'02.29""N",25.53397,"53°37'08.80""E",53.61911,"25°34'06.31""N",25.56842,"55°50'20.98""E",55.83916,OLI_TIRS_L2SP,3/24/2013,9/12/2020,9/12/2020,,WGS84,DAY,LC08_L2SP_160043_20130324_20200912_02_T1,WGS84,LC81600432013083LGN02,6.436,4.316,4.774,101,5,90.72,LC08_L1TP_160043_20130324_20200912_02_T1,LC08_L2SP_160043_20130324_20200912_02_T1,LC81600432013083LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"24°33'10.44""N",24.5529,"54°44'53.92""E",54.74831,94.2,OLI_TIRS,49:15.2,LGN,49:45.0,130.5736234,57.00173948,ACTUAL,160,43,40,160,43,Landsat
,T1,2,"22°04'56.93""N",22.08248,"53°20'18.96""E",53.3386,"22°06'59.90""N",22.11664,"55°30'00.61""E",55.50017,"24°05'30.55""N",24.09182,"53°17'01.25""E",53.28368,"24°07'46.06""N",24.12946,"55°28'39.43""E",55.47762,OLI_TIRS_L2SP,3/24/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160044_20130324_20200913_02_T1,WGS84,LC81600442013083LGN02,6.914,4.5,5.249,216,5,82.94,LC08_L1TP_160044_20130324_20200913_02_T1,LC08_L2SP_160044_20130324_20200913_02_T1,LC81600442013083LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"23°06'45.25""N",23.11257,"54°24'02.99""E",54.40083,82.91,OLI_TIRS,49:39.0,LGN,50:08.7,128.5119804,57.74380848,ACTUAL,160,44,40,160,44,Landsat
,T1,2,"20°38'26.38""N",20.64066,"53°00'22.72""E",53.00631,"20°40'37.16""N",20.67699,"55°08'56.69""E",55.14908,"22°38'58.45""N",22.64957,"52°57'02.09""E",52.95058,"22°41'23.28""N",22.6898,"55°07'23.45""E",55.12318,OLI_TIRS_L2SP,3/24/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160045_20130324_20200913_02_T1,WGS84,LC81600452013083LGN02,7.43,5.195,5.312,171,5,92.27,LC08_L1TP_160045_20130324_20200913_02_T1,LC08_L2SP_160045_20130324_20200913_02_T1,LC81600452013083LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"21°40'18.34""N",21.67176,"54°03'31.21""E",54.05867,92.27,OLI_TIRS,50:02.7,LGN,50:32.5,126.3621082,58.44148923,ACTUAL,160,45,40,160,45,Landsat
,T1,2,"24°58'43.18""N",24.97866,"55°07'10.74""E",55.11965,"24°59'24.72""N",24.9902,"57°19'08.65""E",57.31907,"26°58'36.37""N",26.97677,"55°05'15.32""E",55.08759,"26°59'21.77""N",26.98938,"57°19'28.27""E",57.32452,OLI_TIRS_L2SP,3/29/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_160042_20130329_20200913_02_T1,WGS84,LC81600422013088LGN02,5.018,3.309,3.772,590,5,0.44,LC08_L1TP_160042_20130329_20200913_02_T1,LC08_L2SP_160042_20130329_20200913_02_T1,LC81600422013088LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"25°59'33.94""N",25.99276,"56°12'48.02""E",56.21334,0.18,OLI_TIRS,44:37.1,LGN,45:06.9,130.7143507,57.95640546,ACTUAL,160,42,40,160,42,Landsat
,T1,2,"26°26'32.86""N",26.44246,"51°11'58.56""E",51.1996,"26°25'20.53""N",26.42237,"53°24'15.73""E",53.40437,"28°25'20.24""N",28.42229,"51°12'11.48""E",51.20319,"28°24'01.58""N",28.40044,"53°26'51.40""E",53.44761,OLI_TIRS_L2SP,4/1/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_162041_20130401_20200913_02_T1,WGS84,LC81620412013091LGN02,4.375,3.276,2.9,858,5,0.05,LC08_L1TP_162041_20130401_20200913_02_T1,LC08_L2SP_162041_20130401_20200913_02_T1,LC81620412013091LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"27°25'53.15""N",27.43143,"52°18'48.02""E",52.31334,0.04,OLI_TIRS,01:23.2,LGN,01:53.0,131.6881587,58.21936638,ACTUAL,162,41,39,162,41,Landsat
,T1,2,"24°59'54.96""N",24.9986,"50°51'19.15""E",50.85532,"24°59'04.99""N",24.98472,"53°02'12.98""E",53.03694,"26°58'53.58""N",26.98155,"50°51'10.33""E",50.85287,"26°57'59.04""N",26.9664,"53°04'16.97""E",53.07138,OLI_TIRS_L2SP,4/1/2013,9/12/2020,9/12/2020,,WGS84,DAY,LC08_L2SP_162042_20130401_20200912_02_T1,WGS84,LC81620422013091LGN02,4.212,3.046,2.91,195,5,0.21,LC08_L1TP_162042_20130401_20200912_02_T1,LC08_L2SP_162042_20130401_20200912_02_T1,LC81620422013091LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"25°59'32.93""N",25.99248,"51°57'14.26""E",51.95396,0.14,OLI_TIRS,01:47.0,LGN,02:16.8,129.5332811,58.97979104,ACTUAL,162,42,39,162,42,Landsat
,T1,2,"23°33'23.08""N",23.55641,"50°30'57.46""E",50.51596,"23°32'53.27""N",23.54813,"52°40'34.50""E",52.67625,"25°32'32.64""N",25.5424,"50°30'29.81""E",50.50828,"25°31'59.95""N",25.53332,"52°42'10.22""E",52.70284,OLI_TIRS_L2SP,4/1/2013,9/13/2020,9/13/2020,,WGS84,DAY,LC08_L2SP_162043_20130401_20200913_02_T1,WGS84,LC81620432013091LGN02,5.215,3.437,3.921,529,5,0.1,LC08_L1TP_162043_20130401_20200913_02_T1,LC08_L2SP_162043_20130401_20200913_02_T1,LC81620432013091LGN02,,,,,,,,,NADIR,LPGS_15.3.1c,UTM,,,0,,,,,,,,,8,"24°33'11.16""N",24.5531,"51°36'03.28""E",51.60091,0.19,OLI_TIRS,02:10.8,LGN,02:40.6,127.2813421,59.69433467,ACTUAL,162,43,39,162,43,Landsat
